start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF
26:14.8,27:59.2,3,Handroanthus crysanthus,H01,1,26,3,2023,0,0,5,0,3,0,0,0,0
29:14.8,30:29.3,3,Handroanthus crysanthus,H05,5,26,3,2023,0,0,5,0,3,0,0,0,0
30:32.6,31:36.9,3,Handroanthus crysanthus,H04,4,26,3,2023,0,0,5,0,3,0,0,0,0
31:39.9,32:45.2,3,Handroanthus crysanthus,H13,13,26,3,2023,0,0,4,0,2,0,0,0,0
33:04.5,34:06.8,3,Handroanthus crysanthus,H02,2,26,3,2023,0,0,5,0,2,0,0,0,0
34:10.1,35:20.1,3,Handroanthus crysanthus,H11,11,27,3,2023,0,0,5,0,4,0,0,0,0
40:11.1,41:34.2,3,Handroanthus crysanthus,H06,6,30,3,2023,0,0,4,0,3,0,0,0,0
43:02.3,44:07.1,3,Handroanthus crysanthus,H10,10,30,3,2023,0,0,4,0,3,0,0,0,0
44:09.9,45:29.6,3,Handroanthus crysanthus,H14,14,30,3,2023,0,0,4,0,3,0,0,0,0
22:02.5,23:09.6,3,Handroanthus crysanthus,H14,14,4,4,2023,0,0,4,0,2,0,0,0,0
23:13.8,25:25.5,3,Handroanthus crysanthus,H07,7,4,4,2023,0,0,4,0,3,0,0,0,0
27:33.7,28:39.1,3,Handroanthus crysanthus,H01,1,4,4,2023,0,0,5,0,3,0,0,0,0
28:42.7,29:45.8,3,Handroanthus crysanthus,H05,5,4,4,2023,0,0,4,0,2,0,0,0,0
29:49.3,31:16.0,3,Handroanthus crysanthus,H04,4,5,4,2023,0,0,5,0,1,0,0,0,0
31:19.0,32:29.5,3,Handroanthus crysanthus,H13,13,5,4,2023,0,0,3,0,2,0,0,0,0
32:32.1,33:32.6,3,Handroanthus crysanthus,H12,12,5,4,2023,0,0,5,0,1,0,0,0,0
34:54.6,37:06.3,3,Handroanthus crysanthus,H06,6,5,4,2023,0,0,4,0,1,0,0,0,0
37:08.9,38:11.9,3,Handroanthus crysanthus,H02,2,8,4,2023,0,0,5,0,2,0,0,0,0
38:14.5,39:13.0,3,Handroanthus crysanthus,H11,11,8,4,2023,0,0,5,0,4,0,0,0,0
41:48.8,42:51.0,3,Handroanthus crysanthus,H10,10,8,4,2023,0,0,4,0,3,0,0,0,0
01:54.6,03:10.0,3,Handroanthus crysanthus,H07,7,15,4,2023,0,0,4,0,2,0,0,0,0
04:23.9,06:19.9,3,Handroanthus crysanthus,H01,1,15,4,2023,0,0,5,0,3,0,0,0,0
06:23.1,07:28.5,3,Handroanthus crysanthus,H05,5,15,4,2023,0,0,4,0,2,0,0,0,0
07:32.5,08:50.5,3,Handroanthus crysanthus,H12,12,15,4,2023,0,0,5,0,2,0,0,0,0
19:58.9,20:48.8,3,Handroanthus crysanthus,H06,6,17,4,2023,0,0,4,0,1,0,0,0,0
21:07.1,21:58.4,3,Handroanthus crysanthus,H13,13,17,4,2023,0,0,3,0,2,0,0,0,0
22:05.9,23:22.7,3,Handroanthus crysanthus,H04,4,17,4,2023,0,0,5,0,1,0,0,0,0
24:08.4,34:36.7,3,Handroanthus crysanthus,H10,10,17,4,2023,0,0,4,0,2,0,0,0,0
24:59.1,33:39.0,3,Handroanthus crysanthus,H02,2,19,4,2023,0,0,5,0,1,0,0,0,0
26:07.9,34:17.7,3,Handroanthus crysanthus,H11,11,19,4,2023,0,0,5,0,4,0,0,0,0
32:16.6,37:10.5,3,Handroanthus crysanthus,H14,14,19,4,2023,0,0,4,0,1,0,0,0,0
24:55.0,26:16.4,3,Handroanthus crysanthus,H14,14,26,4,2023,0,0,4,0,2,0,0,0,0
26:19.4,27:23.5,3,Handroanthus crysanthus,H07,7,26,4,2023,0,0,4,0,3,0,0,0,0
28:32.9,29:33.9,3,Handroanthus crysanthus,H01,1,26,4,2023,0,0,5,0,3,0,0,0,0
29:37.1,30:36.5,3,Handroanthus crysanthus,H12,12,26,4,2023,0,0,5,0,2,0,0,0,0
30:39.2,31:47.8,3,Handroanthus crysanthus,H05,5,29,4,2023,0,0,4,0,1,0,0,0,0
31:51.5,32:59.0,3,Handroanthus crysanthus,H04,4,29,4,2023,0,0,5,0,1,0,0,0,0
33:03.5,34:11.1,3,Handroanthus crysanthus,H06,6,29,4,2023,0,0,4,0,1,0,0,0,0
35:37.2,36:48.9,3,Handroanthus crysanthus,H10,10,29,4,2023,0,0,4,0,1,0,0,0,0
36:53.1,38:04.1,3,Handroanthus crysanthus,H02,2,29,4,2023,0,0,5,0,2,0,0,0,0
38:08.0,39:59.2,3,Handroanthus crysanthus,H11,11,29,4,2023,0,0,5,0,3,0,0,0,0
